RefID,Setting,Title,Authors,Year,Attrition outcome,Attrition outcome definition,Attrition related analysis,Measures of effect and significance,Number of RCTs,Participants unit,Participants value,Dropout measure,Dropout statistic,Dropout value
657,Osteoarthritis,Meta-analysis of dropout rates in randomized controlled clinical trials: opioid analgesia for osteoarthritis pain.,"Gehling, M, Hermann, B, Tryba, M",2011,Dropout due to lack of effect,Not defined,"Random effects model, Fixed effects model","Cochrane's Q, odds ratio, 95% CI, p-value",19,N,5861,Placebo dropout rate,%,38
657,Osteoarthritis,Meta-analysis of dropout rates in randomized controlled clinical trials: opioid analgesia for osteoarthritis pain.,"Gehling, M, Hermann, B, Tryba, M",2011,Dropout due to adverse events,Not defined,"Random effects model, Fixed effects model","Cochrane's Q, odds ratio, 95% CI, p-value",19,N,5861,Placebo dropout rate,%,38
657,Osteoarthritis,Meta-analysis of dropout rates in randomized controlled clinical trials: opioid analgesia for osteoarthritis pain.,"Gehling, M, Hermann, B, Tryba, M",2011,Total dropout,Not defined,"Random effects model, Fixed effects model","Cochrane's Q, odds ratio, 95% CI, p-value",19,N,5861,Placebo dropout rate,%,38
688,Multiple sclerosis,Nocebo effects in multiple sclerosis trials: a meta-analysis.,"Papadopoulos, D, Mitsikostas, D D",2010,Dropout due to drug-related adverse reactions (DO),Not defined,"Random effects model, Metaregression","Coefficient, p-value",100,N,7355,Pooled DO rate,% [95% CI],"2.16 [1.73, 2.63]"
688,Multiple sclerosis,Nocebo effects in multiple sclerosis trials: a meta-analysis.,"Papadopoulos, D, Mitsikostas, D D",2010,Withdrawal from trial,Not defined,"Random effects model, Metaregression","Coefficient, p-value",100,N,7355,Pooled DO rate,% [95% CI],"2.16 [1.73, 2.63]"
693,Schizophrenia,Meta-analysis of rates of drop-out from psychosocial treatment among persons with schizophrenia spectrum disorder.,"Villeneuve, K, Potvin, S, Lesage, A, Nicole, L",2010,Dropout,Not defined,"Random effects model, Metaregression, Subgroup analyses","Coefficient, 95% CI, p-value",74,N,4374,Composite dropout rate,% [95% CI],"13 [0.106, 0.156]"
698,Depression,"Relationship between probability of receiving placebo and probability of prematurely discontinuing treatment in double-blind, randomized clinical trials for MDD: a meta-analysis.","Tedeschini, Enrico, Fava, Maurizio, Goodness, Tracie M, Papakostas, George I",2010,Discontinuation rate,Per each protocol,"Random effects model, Metaregression","Risk ratio, 95% CI, p-value",142,N,36603,Pooled discontinuation rate for antidepressants,%,31.4
698,Depression,"Relationship between probability of receiving placebo and probability of prematurely discontinuing treatment in double-blind, randomized clinical trials for MDD: a meta-analysis.","Tedeschini, Enrico, Fava, Maurizio, Goodness, Tracie M, Papakostas, George I",2010,Discontinuation rate,Per each protocol,"Random effects model, Metaregression","Risk ratio, 95% CI, p-value",142,N,36603,Pooled discontinuation rate for placebo,%,33.2
713,Depression,Adding psychotherapy to pharmacotherapy in the treatment of depressive disorders in adults: a meta-analysis.,"Cuijpers, Pim, Dekker, Jack, Hollon, Steven D, Andersson, Gerhard",2009,Dropout,Not defined,"Random effects model, Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, p-value",19,NR,NR,NR,NR,NR
723,Obesity,Attrition from randomized controlled trials of pharmacological weight loss agents: a systematic review and analysis.,"Fabricatore, A N, Wadden, T A, Moore, R H, Butryn, M L, Gravallese, E A, Erondu, N E, Heymsfield, S B, Nguyen, A M",2009,Total attrition from all causes,The number of dropouts at 1 year after randomisation divided by the number of randomised participants,Mixed effects model,"Least square means, standard deviation, coefficient, standard error, F-statistic, p-value",24,N,18918,Mean total attrition rate,Mean (SD),32.8 (1.6)
723,Obesity,Attrition from randomized controlled trials of pharmacological weight loss agents: a systematic review and analysis.,"Fabricatore, A N, Wadden, T A, Moore, R H, Butryn, M L, Gravallese, E A, Erondu, N E, Heymsfield, S B, Nguyen, A M",2009,AE-related attrition,Not defined,Mixed effects model,"Least square means, standard deviation, coefficient, standard error, F-statistic, p-value",24,N,18918,Mean AE-related attrition rate,Mean (SD),7.8 (0.6)
723,Obesity,Attrition from randomized controlled trials of pharmacological weight loss agents: a systematic review and analysis.,"Fabricatore, A N, Wadden, T A, Moore, R H, Butryn, M L, Gravallese, E A, Erondu, N E, Heymsfield, S B, Nguyen, A M",2009,Non-AE-related attrition,Not defined,Mixed effects model,"Least square means, standard deviation, coefficient, standard error, F-statistic, p-value",24,N,18918,Mean Non-AE-related attrition rate,Mean (SD),26.7 (1.5)
725,Depression,Design characteristics that influence attrition in geriatric antidepressant trials: meta-analysis.,"Heo, Moonseong, Papademetriou, Eros, Meyers, Barnett S",2009,Attrition size,Number of dropouts during the study and number of subjects who were rnadomised but excluded from study-specific efficacy analysis,"Mantel-Haenszel method, Univariate and multivariate logistic regression, Forward stepwise correlation analysis","Odds ratio, 95% CI, p-value",68,N,8385,Attrition rate,%,27.3
731,Schizophrenic disorders,Dropout rates in randomized clinical trials of antipsychotics: a meta-analysis comparing first- and second-generation drugs and an examination of the role of trial design features.,"Rabinowitz, Jonathan, Levine, Stephen Z, Barkai, Orna, Davidov, Ori",2009,Total treatment arm dropout,Not defined,"Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, estimate, standard error, p-value",94,N,2686,NR,NR,NR
732,Binge eating disorders,Review and meta-analysis of pharmacotherapy for binge-eating disorder.,"Reas, Deborah L, Grilo, Carlos M",2008,Attrition,Withdrawal or noncompletion for any reason,"Fixed effects model, Random effects model","Risk ratio, 95% CI, p-value",13,N,1254,Overall attrition rate for placebo,%,31.5
732,Binge eating disorders,Review and meta-analysis of pharmacotherapy for binge-eating disorder.,"Reas, Deborah L, Grilo, Carlos M",2008,Attrition,Withdrawal or noncompletion for any reason,"Fixed effects model, Random effects model","Risk ratio, 95% CI, p-value",13,N,1254,Overall attrition rate for active treatment,%,30.4
759,Depression,Re-evaluation of the efficacy and tolerability of venlafaxine vs SSRI: meta-analysis.,"Weinmann, S, Becker, T, Koesters, M",2008,"Overall dropout rate, dropouts due to adverse events)",Not defined,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for venlafaxine,N/Total,413/1748
759,Depression,Re-evaluation of the efficacy and tolerability of venlafaxine vs SSRI: meta-analysis.,"Weinmann, S, Becker, T, Koesters, M",2008,"Overall dropout rate, dropouts due to adverse events)",Not defined,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for SSRIs,N/Total,392/1791
759,Depression,Re-evaluation of the efficacy and tolerability of venlafaxine vs SSRI: meta-analysis.,"Weinmann, S, Becker, T, Koesters, M",2008,Dropouts due to adverse events,Not defined,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for venlafaxine,N/Total,413/1748
759,Depression,Re-evaluation of the efficacy and tolerability of venlafaxine vs SSRI: meta-analysis.,"Weinmann, S, Becker, T, Koesters, M",2008,Dropouts due to adverse events,Not defined,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for SSRIs,N/Total,392/1791
778,Type 2 diabetes,Assessing differential attrition in clinical trials: self-monitoring of oral anticoagulation and type II diabetes.,"Heneghan, Carl, Perera, Rafael, Ward A, Alison, Fitzmaurice, David, Meats, Emma, Glasziou, Paul",2007,Differential attrition,Not defined,"DerSimonian-Laird random effects model, Metaregression","Relative attrition, chi-square, I-squared, 95% CI, p-value",27,N,5477,Attrition for self-monitoring blood glucose intervention,Range (%),2.3 - 50.0
778,Type 2 diabetes,Assessing differential attrition in clinical trials: self-monitoring of oral anticoagulation and type II diabetes.,"Heneghan, Carl, Perera, Rafael, Ward A, Alison, Fitzmaurice, David, Meats, Emma, Glasziou, Paul",2007,Differential attrition,Not defined,"DerSimonian-Laird random effects model, Metaregression","Relative attrition, chi-square, I-squared, 95% CI, p-value",27,N,5477,Attrition for self-monitoring blood glucose control,Range (%),0 - 40.4
778,Type 2 diabetes,Assessing differential attrition in clinical trials: self-monitoring of oral anticoagulation and type II diabetes.,"Heneghan, Carl, Perera, Rafael, Ward A, Alison, Fitzmaurice, David, Meats, Emma, Glasziou, Paul",2007,Differential attrition,Not defined,"DerSimonian-Laird random effects model, Metaregression","Relative attrition, chi-square, I-squared, 95% CI, p-value",27,N,5477,Attrition for self-monitoring oral anticoagulation intervention,Range (%),0 - 43.2
778,Type 2 diabetes,Assessing differential attrition in clinical trials: self-monitoring of oral anticoagulation and type II diabetes.,"Heneghan, Carl, Perera, Rafael, Ward A, Alison, Fitzmaurice, David, Meats, Emma, Glasziou, Paul",2007,Differential attrition,Not defined,"DerSimonian-Laird random effects model, Metaregression","Relative attrition, chi-square, I-squared, 95% CI, p-value",27,N,5477,Attrition for self-monitoring oral anticoagulation control,Range (%),0 - 21.4
788,Anxiety,Valerian for anxiety disorders.,"Miyasaka, L S, Atallah, A N, Soares, B G O",2006,Number of participants dropping out due to side effects,Not defined,Fixed effects model,"Relative risk, 95% CI, p-value",1,N,36,Overall dropout rate,%,14
788,Anxiety,Valerian for anxiety disorders.,"Miyasaka, L S, Atallah, A N, Soares, B G O",2006,Total number of dropouts,Not defined,Fixed effects model,"Relative risk, 95% CI, p-value",1,N,36,Overall dropout rate,%,14
810,Schizophrenia,"Meta-analysis of drop-out rates in randomised clinical trials, comparing typical and atypical antipsychotics in the treatment of schizophrenia.","Martin, Jose Luis R, Perez, Victor, Sacristan, Montse, Rodriguez-Artalejo, Fernando, Martinez, Cristobal, Alvarez, Enric",2006,All-cause discontinuation of treatment,Not defined,"Random effects model, Fixed effects model, Sensitivity analyses","Log relative risk, log odds ratio, risk difference, 95% CI, p-value",28,N,7754,NR,NR,NR
810,Schizophrenia,"Meta-analysis of drop-out rates in randomised clinical trials, comparing typical and atypical antipsychotics in the treatment of schizophrenia.","Martin, Jose Luis R, Perez, Victor, Sacristan, Montse, Rodriguez-Artalejo, Fernando, Martinez, Cristobal, Alvarez, Enric",2006,Specific discontinuation due to adverse events,Not defined,"Random effects model, Fixed effects model, Sensitivity analyses","Log relative risk, log odds ratio, risk difference, 95% CI, p-value",28,N,7754,NR,NR,NR
840,Depression,Combined pharmacotherapy and psychological treatment for depression: a systematic review.,"Pampallona, Sandro, Bollini, Paola, Tibaldi, Giuseppe, Kupelnick, Bruce, Munizza, Carmine",2004,Dropout for any reason,Not defined,"Random effects model, Sensitivity analysis, Metaregression","Odds ratio, 95% CI, p-value",16,N,1842,Pooled dropout estimates for combined pharmacotherapy compared to psychotherapy,% [95% CI],"6.5% [-12.1, -1]"
854,Dementia,Propentofylline for dementia.,"Frampton, M, Harvey, R J, Kirchner, V",2003,Safety (incidence of adverse events leading to withdrawal),Not defined,Peto odds ratio,"Odds ratio, 95% CI, p-value",9,Range (N),"30, 550",NR,NR,NR
854,Dementia,Propentofylline for dementia.,"Frampton, M, Harvey, R J, Kirchner, V",2003,Acceptability (withdrawal from trials),Not defined,Peto odds ratio,"Odds ratio, 95% CI, p-value",9,Range (N),"30, 550",NR,NR,NR
869,Bulimia nervosa,Antidepressants versus placebo for people with bulimia nervosa.,"Bacaltchuk, J, Hay, P",2001,Acceptability (dropout due to any cause),Not defined,"Random effects model, Sensitivity analyses","Odds ratio, relative risk, 95% CI, p-value",19,N,1436,,,
869,Bulimia nervosa,Antidepressants versus placebo for people with bulimia nervosa.,"Bacaltchuk, J, Hay, P",2001,Tolerability (dropout due to adverse events),Not defined,"Random effects model, Sensitivity analyses","Odds ratio, relative risk, 95% CI, p-value",19,N,1436,,,
875,Schizophrenia,Dropout rates in randomised antipsychotic drug trials.,"Wahlbeck, K, Tuunainen, A, Ahokas, A, Leucht, S",2001,Number of dropouts,The number of patients leaving the study preterm due to any reason,"Two-tailed significance testing, linear ANOVA regression","F-statistic, p-value",163,N,18585,NR,NR,NR
956,Obesity,Pre-Enrollment Steps and Run-Ins in Weight Loss Trials: A Meta-Regression,"McVay M.A., Lavoie H.A., Rajoria M., Leong M.C., Lou X., McMahon L.N., Patnode C.D., Pagoto S.L., Jake-Schoffman D.E.",2023,Trial retention,Not defined,"Random effects model, Metaregression","Estimate, 95% CI, p-value",80,Median (N),240,NR,NR,NR
996,Cancer,"Dropout Rate in Digital Health Interventions for the Prevention of Skin Cancer: Systematic Review, Meta-analysis, and Metaregression","Hernandez-Rodriguez J.-C., Garcia-Munoz C., Ortiz-Alvarez J., Saigi-Rubio F., Conejo-Mir J., Pereyra-Rodriguez J.-J.",2022,Dropout rate,When a participant did not complete the intervention or follow-up period after the randomisation process,"Random effects model, Metaregression, Sensitivity analyses, Subgroup analyses","OR, 95% CI, Coefficient, p-value",17,N,6593,Overall pooled dropout rate,% [95% CI],"9.5 [5.0, 17.5]"
1035,Tinnitus,Efficacy of pharmacologic treatment in tinnitus patients without specific or treatable origin: A network meta-analysis of randomised controlled trials,"Chen J.-J., Chen Y.-W., Zeng B.-Y., Hung C.-M., Zeng B.-S., Stubbs B., Carvalho A.F., Thompson T., Roerecke M., Su K.-P., Tu Y.-K., Wu Y.-C., Smith L., Chen T.-Y., Lin P.-Y., Liang C.-S., Hsu C.-W., Hsu S.-P., Kuo H.-C., Wu M.-K., Tseng P.-T.",2021,Dropout rate,The percentage of patients dropping out for any reason before study completion,"Frequenist network meta-analysis, Mixed effects model, Generalised linear regression, Subgroup analyses","Rate ratio, 95% CI, p-value",36,N,2761,NR,NR,NR
1198,Coronary artery disease,Hybrid Systematic Review and Network Meta-Analysis of Randomized Controlled Trials of Interventions for Depressive Symptoms in Patients with Coronary Artery Disease,"Doyle F., Freedland K.E., Carney R.M., De Jonge P., Dickens C., Pedersen S.S., Sorensen J., Dempster M.",2021,Acceptability,The proportion of patients who discontinue treatment for any reason,"Random effects model, Frequenist network meta-analysis, Subgroup analyses","OR, 95% CI, p-value",33,N,7240,NR,NR,NR
1202,Depression,Discontinuation of antidepressants after remission with antidepressant medication in major depressive disorder: a systematic review and meta-analysis,"Kato M., Hori H., Inoue T., Iga J., Iwata M., Inagaki T., Shinohara K., Imai H., Murata A., Mishima K., Tajika A.",2021,Acceptability,All-cause dropout,"Random effects model, Subgroup analyses, Metaregression","OR, 95% CI, p-value",40,N,8890,Pooled dropout odds,OR [95% CI],"0.47 [0.40, 0.55]"
1202,Depression,Discontinuation of antidepressants after remission with antidepressant medication in major depressive disorder: a systematic review and meta-analysis,"Kato M., Hori H., Inoue T., Iga J., Iwata M., Inagaki T., Shinohara K., Imai H., Murata A., Mishima K., Tajika A.",2021,Tolerability,Dropout due to adverse events,"Random effects model, Subgroup analyses, Metaregression","OR, 95% CI, p-value",40,N,8890,Pooled dropout odds,OR [95% CI],"1.15 [0.79, 1.67]"
1360,Herpes zoster,Vaccines for preventing herpes zoster in older adults,"Gagliardi A.M.Z., Andriolo B.N.G., Torloni M.R., Soares B.G.O., de Oliveira Gomes J., Andriolo R.B., Canteiro Cruz E.",2019,Dropouts,Not defined,"Random effects model, Subgroup analyses, Sensitivity analyses","Risk ratio, 95% CI, p-value",24,N,88531,NR,NR,NR
1519,Schizophrenia,Psychological interventions to reduce positive symptoms in schizophrenia: systematic review and network meta-analysis,"Bighelli I., Salanti G., Huhn M., Schneider-Thoma J., Krause M., Reitmeir C., Wallis S., Schwermann F., Pitschel-Walz G., Barbui C., Furukawa T.A., Leucht S.",2018,All-cause discontinuation,Study dropout for any reason,"Random effects model, Frequenist network meta-analysis","Risk ratio, 95% CI, p-values, subgroup analyses",62,N,4068,NR,NR,NR
1643,Mixed,A Systematic Review on the Acceptability and Tolerability of Transcranial Direct Current Stimulation Treatment in Neuropsychiatry Trials,"Aparicio L.V.M., Guarienti F., Razza L.B., Carvalho A.F., Fregni F., Brunoni A.R.",2016,Acceptability,Rates of treatment discontinuation for all causes,"Random effects model, Mantel-Haenszel method, Metaregression, ANOVA, Univariate linear regressions","OR, 95% CI, p-value",64,N,2262,Total dropouts,%,6.4
1655,Mixed,A Systematic Review and Meta-Analysis Estimating the Expected Dropout Rates in Randomized Controlled Trials on Yoga Interventions,"Cramer H., Haller H., Dobos G., Lauche R.",2016,Dropout rate,Not defined,"Random effects model, Subgroup analyses, Chi-square","OR, 95% CI, p-value",168,Median yoga group size (N),30,Overall yoga dropout rate,% [95% CI],"11.42 [10.11, 12.73]"
2125,Mixed psychological conditions,Overall and Differential Attrition in Mindfulness-Based Interventions: a Meta-Analysis,"Lam, SU, Kirvin-Quamme, A, Goldberg, SB",2022,Attrition rate,Ratio between dropout and intention to treat sample sizes,"Random effects model, Peto method, Mantel-Haenszel method, Sensitivity analyses, Subgroup analyses, Metaregression","Coefficient, 95% CI, p-value",114,N,11288,Differential attrition between MBI and control arms,OR [95% CI],"1.05 [0.92, 1.19]"
2260,Obesity,"An Overview of the Efficacy and Safety
of Fenfluramine and Mazindol
in the Treatment of Obesity","Stahl A, Imperiale T",1993,Overall dropout,Not defined,Independence testing,"Dropout rate, p-value",43,Range (N),"21, 292",NR,NR,NR
2260,Obesity,"An Overview of the Efficacy and Safety
of Fenfluramine and Mazindol
in the Treatment of Obesity","Stahl A, Imperiale T",1993,Dropouts due to adverse events,Not defined,Independence testing,"Dropout rate, p-value",43,Range (N),"21, 292",NR,NR,NR
2260,Obesity,"An Overview of the Efficacy and Safety
of Fenfluramine and Mazindol
in the Treatment of Obesity","Stahl A, Imperiale T",1993,Dropouts due to perceived lack of drug effect,Not defined,Independence testing,"Dropout rate, p-value",43,Range (N),"21, 292",NR,NR,NR
2307,PTSD,Dropout from psychological therapies for post-traumatic stress disorder (PTSD) in adults: systematic review and meta-analysis,"Lewis, C, Roberts, NP, Gibson, S, Bisson, JI",2020,Dropout,The number of participants that left the study at the point of post-treatment assessment,"Random effects model, metaregression","Coefficient, 95% CI, p-value",115,N,7724,Pooled dropout rate,% [95% CI],"16 [14, 18]"
2342,Anorexia nervosa,Task-sharing interventions for patients with anorexia nervosa or their carers: a systematic evaluation of the literature and meta-analysis of outcomes,"Albano, G, Hodsoll, J, Kan, C, Lo Coco, G, Cardi, V",2019,End of treatment dropout,Not defined,Random effects model,"Peto OR, 95% CI, p-value",22,NR,NR,NR,NR,NR
2520,Depression,Comparison of agomelatine and selective serotonin reuptake inhibitors/serotonin-norepinephrine reuptake inhibitors in major depressive disorder: A meta-analysis of head-to-head randomized clinical trials,"Huang, KL, Lui, WC, Wang, YY, Hu, GC, Lui, CH, Lee, WY, Hsu, CC",2014,Acceptability,"Total dropout, dropout due to inefficacy, dropout due to side effects","Random effects model, Fixed effects model, Sensitivity analyses","Risk ratio, 95% CI, p-value",6,N,1871,Dropout rate,%,<20
3001,Mixed,Bias due to lack of patient blinding in clinical trials. A systematic review of trials randomizing patients to blind and nonblind sub-studies,"A. Hrobjartsson, F. Emanuelsson, A. S. S. Thomsen, J. Hilden and S. Brorson",2014,Number of dropouts,Number of patients unavailable for assessment,Random effects model,"Risk ratio, 95% CI, p-value",12,N,3869,Risk of attrition in nonblind control groups,% (Range),7 (4-11)
3048,Orthopaedic surgery,Loss to follow-up in orthopaedic clinical trials: a systematic review,"J. S. Somerson, K. C. Bartush, J. B. Shroff, M. Bhandari and B. A. Zelle",2016,Loss to follow-up,Number of subjects failing to be evaluated for the primary study endpoint at the predetermined minimum follow-up period,"Univariate comparisons, Independence testing, Correlation testing, Linear regression",,559,N,131836,Mean loss to follow-up,% (Range),10.4 (0 - 75)
3123,Mixed,Partially randomised patient preference trials as an alternative design to randomised controlled trials: systematic review and meta-analyses,"K. A. Wasmann, P. Wijsman, S. van Dieren, W. Bemelman and C. Buskens",2019,Loss to follow-up,Not defined,"Random effects model, independence testing, metaregression ",,20,NR,NR,,,