ref,domain,score
49,q01_design,3
49,q02_selection_extraction,4
49,q03_search,4
49,q04_status,4
49,q05_list_studies,2
49,q06_chars,3
49,q07_qual_assess,4
49,q08_qual_conclu,1
49,q09_combine,3
49,q10_pub_bias,1
49,q11_coi,2
49,total,31
55,q01_design,3
55,q02_selection_extraction,2
55,q03_search,4
55,q04_status,2
55,q05_list_studies,2
55,q06_chars,4
55,q07_qual_assess,3
55,q08_qual_conclu,1
55,q09_combine,3
55,q10_pub_bias,3
55,q11_coi,2
55,total,29
70,q01_design,4
70,q02_selection_extraction,4
70,q03_search,4
70,q04_status,1
70,q05_list_studies,1
70,q06_chars,1
70,q07_qual_assess,4
70,q08_qual_conclu,1
70,q09_combine,1
70,q10_pub_bias,1
70,q11_coi,3
70,total,25
94,q01_design,2
94,q02_selection_extraction,3
94,q03_search,4
94,q04_status,2
94,q05_list_studies,2
94,q06_chars,3
94,q07_qual_assess,4
94,q08_qual_conclu,3
94,q09_combine,3
94,q10_pub_bias,3
94,q11_coi,3
94,total,32
95,q01_design,4
95,q02_selection_extraction,4
95,q03_search,4
95,q04_status,2
95,q05_list_studies,2
95,q06_chars,3
95,q07_qual_assess,4
95,q08_qual_conclu,1
95,q09_combine,3
95,q10_pub_bias,2
95,q11_coi,2
95,total,31
99,q01_design,3
99,q02_selection_extraction,4
99,q03_search,4
99,q04_status,3
99,q05_list_studies,2
99,q06_chars,3
99,q07_qual_assess,4
99,q08_qual_conclu,3
99,q09_combine,4
99,q10_pub_bias,3
99,q11_coi,2
99,total,35
102,q01_design,4
102,q02_selection_extraction,4
102,q03_search,4
102,q04_status,2
102,q05_list_studies,2
102,q06_chars,3
102,q07_qual_assess,2
102,q08_qual_conclu,4
102,q09_combine,1
102,q10_pub_bias,1
102,q11_coi,3
102,total,30
107,q01_design,4
107,q02_selection_extraction,4
107,q03_search,4
107,q04_status,1
107,q05_list_studies,2
107,q06_chars,3
107,q07_qual_assess,4
107,q08_qual_conclu,2
107,q09_combine,3
107,q10_pub_bias,1
107,q11_coi,2
107,total,30
111,q01_design,3
111,q02_selection_extraction,4
111,q03_search,4
111,q04_status,3
111,q05_list_studies,2
111,q06_chars,3
111,q07_qual_assess,1
111,q08_qual_conclu,1
111,q09_combine,3
111,q10_pub_bias,3
111,q11_coi,3
111,total,30
113,q01_design,2
113,q02_selection_extraction,3
113,q03_search,3
113,q04_status,3
113,q05_list_studies,2
113,q06_chars,3
113,q07_qual_assess,3
113,q08_qual_conclu,1
113,q09_combine,2
113,q10_pub_bias,2
113,q11_coi,1
113,total,25
120,q01_design,4
120,q02_selection_extraction,4
120,q03_search,3
120,q04_status,2
120,q05_list_studies,2
120,q06_chars,3
120,q07_qual_assess,4
120,q08_qual_conclu,1
120,q09_combine,2
120,q10_pub_bias,1
120,q11_coi,3
120,total,29
121,q01_design,3
121,q02_selection_extraction,4
121,q03_search,4
121,q04_status,2
121,q05_list_studies,2
121,q06_chars,3
121,q07_qual_assess,2
121,q08_qual_conclu,1
121,q09_combine,2
121,q10_pub_bias,2
121,q11_coi,2
121,total,27
145,q01_design,3
145,q02_selection_extraction,4
145,q03_search,4
145,q04_status,4
145,q05_list_studies,4
145,q06_chars,3
145,q07_qual_assess,4
145,q08_qual_conclu,4
145,q09_combine,4
145,q10_pub_bias,3
145,q11_coi,3
145,total,40
146,q01_design,3
146,q02_selection_extraction,4
146,q03_search,4
146,q04_status,4
146,q05_list_studies,4
146,q06_chars,3
146,q07_qual_assess,4
146,q08_qual_conclu,4
146,q09_combine,2
146,q10_pub_bias,2
146,q11_coi,3
146,total,37
153,q01_design,3
153,q02_selection_extraction,1
153,q03_search,1
153,q04_status,2
153,q05_list_studies,2
153,q06_chars,2
153,q07_qual_assess,4
153,q08_qual_conclu,1
153,q09_combine,2
153,q10_pub_bias,1
153,q11_coi,3
153,total,22
201,q01_design,3
201,q02_selection_extraction,4
201,q03_search,2
201,q04_status,1
201,q05_list_studies,2
201,q06_chars,3
201,q07_qual_assess,4
201,q08_qual_conclu,1
201,q09_combine,4
201,q10_pub_bias,2
201,q11_coi,2
201,total,28
211,q01_design,4
211,q02_selection_extraction,3
211,q03_search,2
211,q04_status,2
211,q05_list_studies,1
211,q06_chars,1
211,q07_qual_assess,4
211,q08_qual_conclu,3
211,q09_combine,3
211,q10_pub_bias,2
211,q11_coi,2
211,total,27
214,q01_design,3
214,q02_selection_extraction,4
214,q03_search,3
214,q04_status,4
214,q05_list_studies,2
214,q06_chars,4
214,q07_qual_assess,2
214,q08_qual_conclu,1
214,q09_combine,2
214,q10_pub_bias,1
214,q11_coi,2
214,total,28
215,q01_design,4
215,q02_selection_extraction,4
215,q03_search,4
215,q04_status,2
215,q05_list_studies,2
215,q06_chars,3
215,q07_qual_assess,4
215,q08_qual_conclu,2
215,q09_combine,3
215,q10_pub_bias,2
215,q11_coi,3
215,total,33
217,q01_design,3
217,q02_selection_extraction,4
217,q03_search,4
217,q04_status,4
217,q05_list_studies,2
217,q06_chars,3
217,q07_qual_assess,4
217,q08_qual_conclu,3
217,q09_combine,4
217,q10_pub_bias,3
217,q11_coi,3
217,total,37
221,q01_design,3
221,q02_selection_extraction,4
221,q03_search,2
221,q04_status,1
221,q05_list_studies,2
221,q06_chars,3
221,q07_qual_assess,1
221,q08_qual_conclu,1
221,q09_combine,4
221,q10_pub_bias,3
221,q11_coi,2
221,total,26
222,q01_design,3
222,q02_selection_extraction,4
222,q03_search,3
222,q04_status,2
222,q05_list_studies,2
222,q06_chars,3
222,q07_qual_assess,3
222,q08_qual_conclu,3
222,q09_combine,3
222,q10_pub_bias,3
222,q11_coi,1
222,total,30
225,q01_design,4
225,q02_selection_extraction,1
225,q03_search,2
225,q04_status,1
225,q05_list_studies,1
225,q06_chars,4
225,q07_qual_assess,1
225,q08_qual_conclu,1
225,q09_combine,2
225,q10_pub_bias,1
225,q11_coi,3
225,total,21
227,q01_design,4
227,q02_selection_extraction,4
227,q03_search,4
227,q04_status,1
227,q05_list_studies,2
227,q06_chars,3
227,q07_qual_assess,3
227,q08_qual_conclu,2
227,q09_combine,3
227,q10_pub_bias,2
227,q11_coi,3
227,total,31
256,q01_design,2
256,q02_selection_extraction,4
256,q03_search,3
256,q04_status,2
256,q05_list_studies,2
256,q06_chars,3
256,q07_qual_assess,4
256,q08_qual_conclu,3
256,q09_combine,1
256,q10_pub_bias,1
256,q11_coi,2
256,total,27
269,q01_design,3
269,q02_selection_extraction,1
269,q03_search,3
269,q04_status,1
269,q05_list_studies,2
269,q06_chars,3
269,q07_qual_assess,4
269,q08_qual_conclu,3
269,q09_combine,3
269,q10_pub_bias,3
269,q11_coi,1
269,total,27
282,q01_design,3
282,q02_selection_extraction,2
282,q03_search,3
282,q04_status,2
282,q05_list_studies,2
282,q06_chars,3
282,q07_qual_assess,4
282,q08_qual_conclu,3
282,q09_combine,2
282,q10_pub_bias,2
282,q11_coi,1
282,total,27
288,q01_design,4
288,q02_selection_extraction,4
288,q03_search,4
288,q04_status,3
288,q05_list_studies,2
288,q06_chars,4
288,q07_qual_assess,4
288,q08_qual_conclu,1
288,q09_combine,2
288,q10_pub_bias,3
288,q11_coi,3
288,total,34
301,q01_design,3
301,q02_selection_extraction,4
301,q03_search,4
301,q04_status,2
301,q05_list_studies,2
301,q06_chars,4
301,q07_qual_assess,4
301,q08_qual_conclu,4
301,q09_combine,4
301,q10_pub_bias,4
301,q11_coi,3
301,total,38
326,q01_design,3
326,q02_selection_extraction,1
326,q03_search,3
326,q04_status,2
326,q05_list_studies,2
326,q06_chars,4
326,q07_qual_assess,4
326,q08_qual_conclu,4
326,q09_combine,3
326,q10_pub_bias,1
326,q11_coi,1
326,total,28
327,q01_design,3
327,q02_selection_extraction,4
327,q03_search,2
327,q04_status,2
327,q05_list_studies,2
327,q06_chars,4
327,q07_qual_assess,3
327,q08_qual_conclu,1
327,q09_combine,3
327,q10_pub_bias,4
327,q11_coi,2
327,total,30
358,q01_design,3
358,q02_selection_extraction,2
358,q03_search,4
358,q04_status,2
358,q05_list_studies,2
358,q06_chars,4
358,q07_qual_assess,4
358,q08_qual_conclu,4
358,q09_combine,4
358,q10_pub_bias,4
358,q11_coi,2
358,total,35
378,q01_design,4
378,q02_selection_extraction,4
378,q03_search,3
378,q04_status,4
378,q05_list_studies,2
378,q06_chars,3
378,q07_qual_assess,4
378,q08_qual_conclu,4
378,q09_combine,4
378,q10_pub_bias,4
378,q11_coi,3
378,total,39
396,q01_design,3
396,q02_selection_extraction,4
396,q03_search,2
396,q04_status,2
396,q05_list_studies,1
396,q06_chars,1
396,q07_qual_assess,1
396,q08_qual_conclu,1
396,q09_combine,4
396,q10_pub_bias,1
396,q11_coi,1
396,total,21
399,q01_design,3
399,q02_selection_extraction,1
399,q03_search,4
399,q04_status,2
399,q05_list_studies,2
399,q06_chars,4
399,q07_qual_assess,4
399,q08_qual_conclu,1
399,q09_combine,4
399,q10_pub_bias,2
399,q11_coi,1
399,total,28
413,q01_design,3
413,q02_selection_extraction,1
413,q03_search,4
413,q04_status,2
413,q05_list_studies,2
413,q06_chars,3
413,q07_qual_assess,4
413,q08_qual_conclu,4
413,q09_combine,2
413,q10_pub_bias,4
413,q11_coi,2
413,total,31
415,q01_design,4
415,q02_selection_extraction,2
415,q03_search,4
415,q04_status,3
415,q05_list_studies,2
415,q06_chars,4
415,q07_qual_assess,4
415,q08_qual_conclu,4
415,q09_combine,4
415,q10_pub_bias,1
415,q11_coi,2
415,total,34
417,q01_design,3
417,q02_selection_extraction,4
417,q03_search,4
417,q04_status,2
417,q05_list_studies,2
417,q06_chars,4
417,q07_qual_assess,1
417,q08_qual_conclu,1
417,q09_combine,2
417,q10_pub_bias,1
417,q11_coi,3
417,total,27
440,q01_design,3
440,q02_selection_extraction,1
440,q03_search,4
440,q04_status,2
440,q05_list_studies,2
440,q06_chars,4
440,q07_qual_assess,1
440,q08_qual_conclu,1
440,q09_combine,1
440,q10_pub_bias,1
440,q11_coi,3
440,total,23
448,q01_design,3
448,q02_selection_extraction,4
448,q03_search,4
448,q04_status,2
448,q05_list_studies,1
448,q06_chars,4
448,q07_qual_assess,1
448,q08_qual_conclu,1
448,q09_combine,3
448,q10_pub_bias,3
448,q11_coi,1
448,total,27
463,q01_design,3
463,q02_selection_extraction,2
463,q03_search,4
463,q04_status,2
463,q05_list_studies,2
463,q06_chars,4
463,q07_qual_assess,1
463,q08_qual_conclu,1
463,q09_combine,2
463,q10_pub_bias,4
463,q11_coi,4
463,total,29
465,q01_design,3
465,q02_selection_extraction,4
465,q03_search,4
465,q04_status,2
465,q05_list_studies,1
465,q06_chars,2
465,q07_qual_assess,4
465,q08_qual_conclu,1
465,q09_combine,3
465,q10_pub_bias,4
465,q11_coi,3
465,total,31
490,q01_design,3
490,q02_selection_extraction,1
490,q03_search,1
490,q04_status,1
490,q05_list_studies,1
490,q06_chars,1
490,q07_qual_assess,1
490,q08_qual_conclu,1
490,q09_combine,4
490,q10_pub_bias,1
490,q11_coi,3
490,total,18
498,q01_design,3
498,q02_selection_extraction,2
498,q03_search,4
498,q04_status,1
498,q05_list_studies,1
498,q06_chars,2
498,q07_qual_assess,4
498,q08_qual_conclu,1
498,q09_combine,1
498,q10_pub_bias,1
498,q11_coi,2
498,total,22
510,q01_design,3
510,q02_selection_extraction,4
510,q03_search,2
510,q04_status,1
510,q05_list_studies,1
510,q06_chars,4
510,q07_qual_assess,1
510,q08_qual_conclu,1
510,q09_combine,3
510,q10_pub_bias,3
510,q11_coi,1
510,total,24
535,q01_design,3
535,q02_selection_extraction,4
535,q03_search,3
535,q04_status,1
535,q05_list_studies,1
535,q06_chars,4
535,q07_qual_assess,1
535,q08_qual_conclu,1
535,q09_combine,2
535,q10_pub_bias,1
535,q11_coi,1
535,total,22
538,q01_design,3
538,q02_selection_extraction,1
538,q03_search,4
538,q04_status,1
538,q05_list_studies,1
538,q06_chars,4
538,q07_qual_assess,1
538,q08_qual_conclu,1
538,q09_combine,2
538,q10_pub_bias,2
538,q11_coi,2
538,total,22
551,q01_design,2
551,q02_selection_extraction,1
551,q03_search,3
551,q04_status,3
551,q05_list_studies,2
551,q06_chars,4
551,q07_qual_assess,4
551,q08_qual_conclu,1
551,q09_combine,3
551,q10_pub_bias,3
551,q11_coi,2
551,total,28
567,q01_design,3
567,q02_selection_extraction,4
567,q03_search,4
567,q04_status,2
567,q05_list_studies,2
567,q06_chars,4
567,q07_qual_assess,1
567,q08_qual_conclu,1
567,q09_combine,3
567,q10_pub_bias,2
567,q11_coi,2
567,total,28
569,q01_design,4
569,q02_selection_extraction,2
569,q03_search,3
569,q04_status,1
569,q05_list_studies,2
569,q06_chars,3
569,q07_qual_assess,4
569,q08_qual_conclu,2
569,q09_combine,4
569,q10_pub_bias,4
569,q11_coi,2
569,total,31
570,q01_design,3
570,q02_selection_extraction,2
570,q03_search,4
570,q04_status,4
570,q05_list_studies,4
570,q06_chars,3
570,q07_qual_assess,4
570,q08_qual_conclu,3
570,q09_combine,4
570,q10_pub_bias,1
570,q11_coi,3
570,total,35
586,q01_design,3
586,q02_selection_extraction,4
586,q03_search,3
586,q04_status,1
586,q05_list_studies,1
586,q06_chars,1
586,q07_qual_assess,1
586,q08_qual_conclu,1
586,q09_combine,2
586,q10_pub_bias,1
586,q11_coi,2
586,total,20
590,q01_design,3
590,q02_selection_extraction,3
590,q03_search,4
590,q04_status,2
590,q05_list_studies,1
590,q06_chars,1
590,q07_qual_assess,1
590,q08_qual_conclu,1
590,q09_combine,2
590,q10_pub_bias,1
590,q11_coi,1
590,total,20
638,q01_design,3
638,q02_selection_extraction,1
638,q03_search,2
638,q04_status,2
638,q05_list_studies,2
638,q06_chars,3
638,q07_qual_assess,1
638,q08_qual_conclu,1
638,q09_combine,2
638,q10_pub_bias,3
638,q11_coi,2
638,total,22
657,q01_design,3
657,q02_selection_extraction,2
657,q03_search,4
657,q04_status,1
657,q05_list_studies,3
657,q06_chars,2
657,q07_qual_assess,2
657,q08_qual_conclu,1
657,q09_combine,3
657,q10_pub_bias,1
657,q11_coi,1
657,total,23
688,q01_design,3
688,q02_selection_extraction,1
688,q03_search,2
688,q04_status,2
688,q05_list_studies,1
688,q06_chars,3
688,q07_qual_assess,1
688,q08_qual_conclu,1
688,q09_combine,3
688,q10_pub_bias,3
688,q11_coi,1
688,total,21
693,q01_design,3
693,q02_selection_extraction,2
693,q03_search,4
693,q04_status,3
693,q05_list_studies,1
693,q06_chars,1
693,q07_qual_assess,1
693,q08_qual_conclu,1
693,q09_combine,3
693,q10_pub_bias,4
693,q11_coi,2
693,total,25
698,q01_design,3
698,q02_selection_extraction,1
698,q03_search,4
698,q04_status,1
698,q05_list_studies,1
698,q06_chars,1
698,q07_qual_assess,1
698,q08_qual_conclu,1
698,q09_combine,3
698,q10_pub_bias,1
698,q11_coi,2
698,total,19
713,q01_design,2
713,q02_selection_extraction,1
713,q03_search,2
713,q04_status,3
713,q05_list_studies,1
713,q06_chars,4
713,q07_qual_assess,4
713,q08_qual_conclu,2
713,q09_combine,4
713,q10_pub_bias,3
713,q11_coi,2
713,total,28
723,q01_design,3
723,q02_selection_extraction,2
723,q03_search,1
723,q04_status,2
723,q05_list_studies,1
723,q06_chars,2
723,q07_qual_assess,1
723,q08_qual_conclu,1
723,q09_combine,1
723,q10_pub_bias,1
723,q11_coi,2
723,total,17
725,q01_design,3
725,q02_selection_extraction,4
725,q03_search,2
725,q04_status,2
725,q05_list_studies,1
725,q06_chars,4
725,q07_qual_assess,1
725,q08_qual_conclu,1
725,q09_combine,1
725,q10_pub_bias,2
725,q11_coi,2
725,total,23
731,q01_design,2
731,q02_selection_extraction,1
731,q03_search,3
731,q04_status,1
731,q05_list_studies,2
731,q06_chars,4
731,q07_qual_assess,1
731,q08_qual_conclu,1
731,q09_combine,1
731,q10_pub_bias,1
731,q11_coi,2
731,total,19
732,q01_design,3
732,q02_selection_extraction,1
732,q03_search,4
732,q04_status,1
732,q05_list_studies,4
732,q06_chars,3
732,q07_qual_assess,1
732,q08_qual_conclu,1
732,q09_combine,4
732,q10_pub_bias,1
732,q11_coi,2
732,total,25
759,q01_design,2
759,q02_selection_extraction,2
759,q03_search,3
759,q04_status,1
759,q05_list_studies,2
759,q06_chars,3
759,q07_qual_assess,1
759,q08_qual_conclu,1
759,q09_combine,3
759,q10_pub_bias,3
759,q11_coi,1
759,total,22
778,q01_design,2
778,q02_selection_extraction,1
778,q03_search,3
778,q04_status,2
778,q05_list_studies,1
778,q06_chars,4
778,q07_qual_assess,1
778,q08_qual_conclu,1
778,q09_combine,4
778,q10_pub_bias,1
778,q11_coi,2
778,total,22
788,q01_design,3
788,q02_selection_extraction,4
788,q03_search,4
788,q04_status,3
788,q05_list_studies,4
788,q06_chars,3
788,q07_qual_assess,4
788,q08_qual_conclu,3
788,q09_combine,4
788,q10_pub_bias,2
788,q11_coi,3
788,total,37
810,q01_design,3
810,q02_selection_extraction,2
810,q03_search,4
810,q04_status,3
810,q05_list_studies,2
810,q06_chars,3
810,q07_qual_assess,2
810,q08_qual_conclu,1
810,q09_combine,3
810,q10_pub_bias,2
810,q11_coi,2
810,total,27
840,q01_design,1
840,q02_selection_extraction,4
840,q03_search,4
840,q04_status,1
840,q05_list_studies,3
840,q06_chars,4
840,q07_qual_assess,3
840,q08_qual_conclu,1
840,q09_combine,3
840,q10_pub_bias,2
840,q11_coi,2
840,total,28
854,q01_design,3
854,q02_selection_extraction,4
854,q03_search,4
854,q04_status,1
854,q05_list_studies,4
854,q06_chars,4
854,q07_qual_assess,4
854,q08_qual_conclu,3
854,q09_combine,2
854,q10_pub_bias,2
854,q11_coi,2
854,total,33
869,q01_design,3
869,q02_selection_extraction,4
869,q03_search,4
869,q04_status,1
869,q05_list_studies,4
869,q06_chars,3
869,q07_qual_assess,4
869,q08_qual_conclu,2
869,q09_combine,3
869,q10_pub_bias,3
869,q11_coi,3
869,total,34
875,q01_design,1
875,q02_selection_extraction,2
875,q03_search,1
875,q04_status,2
875,q05_list_studies,1
875,q06_chars,4
875,q07_qual_assess,1
875,q08_qual_conclu,1
875,q09_combine,1
875,q10_pub_bias,2
875,q11_coi,1
875,total,17
956,q01_design,3
956,q02_selection_extraction,4
956,q03_search,4
956,q04_status,1
956,q05_list_studies,1
956,q06_chars,4
956,q07_qual_assess,1
956,q08_qual_conclu,1
956,q09_combine,1
956,q10_pub_bias,1
956,q11_coi,2
956,total,23
996,q01_design,4
996,q02_selection_extraction,1
996,q03_search,3
996,q04_status,2
996,q05_list_studies,4
996,q06_chars,3
996,q07_qual_assess,4
996,q08_qual_conclu,4
996,q09_combine,3
996,q10_pub_bias,4
996,q11_coi,2
996,total,34
1035,q01_design,3
1035,q02_selection_extraction,4
1035,q03_search,4
1035,q04_status,2
1035,q05_list_studies,4
1035,q06_chars,4
1035,q07_qual_assess,4
1035,q08_qual_conclu,4
1035,q09_combine,3
1035,q10_pub_bias,4
1035,q11_coi,3
1035,total,39
1198,q01_design,4
1198,q02_selection_extraction,4
1198,q03_search,4
1198,q04_status,2
1198,q05_list_studies,3
1198,q06_chars,4
1198,q07_qual_assess,4
1198,q08_qual_conclu,4
1198,q09_combine,1
1198,q10_pub_bias,1
1198,q11_coi,2
1198,total,33
1202,q01_design,3
1202,q02_selection_extraction,1
1202,q03_search,3
1202,q04_status,1
1202,q05_list_studies,2
1202,q06_chars,4
1202,q07_qual_assess,3
1202,q08_qual_conclu,1
1202,q09_combine,1
1202,q10_pub_bias,4
1202,q11_coi,3
1202,total,26
1360,q01_design,3
1360,q02_selection_extraction,1
1360,q03_search,4
1360,q04_status,2
1360,q05_list_studies,4
1360,q06_chars,4
1360,q07_qual_assess,4
1360,q08_qual_conclu,4
1360,q09_combine,3
1360,q10_pub_bias,2
1360,q11_coi,2
1360,total,33
1519,q01_design,4
1519,q02_selection_extraction,2
1519,q03_search,3
1519,q04_status,2
1519,q05_list_studies,1
1519,q06_chars,4
1519,q07_qual_assess,4
1519,q08_qual_conclu,1
1519,q09_combine,3
1519,q10_pub_bias,3
1519,q11_coi,3
1519,total,30
1643,q01_design,3
1643,q02_selection_extraction,4
1643,q03_search,2
1643,q04_status,1
1643,q05_list_studies,1
1643,q06_chars,3
1643,q07_qual_assess,4
1643,q08_qual_conclu,4
1643,q09_combine,2
1643,q10_pub_bias,4
1643,q11_coi,2
1643,total,30
1655,q01_design,3
1655,q02_selection_extraction,2
1655,q03_search,4
1655,q04_status,2
1655,q05_list_studies,1
1655,q06_chars,2
1655,q07_qual_assess,1
1655,q08_qual_conclu,1
1655,q09_combine,1
1655,q10_pub_bias,1
1655,q11_coi,2
1655,total,20
2260,q01_design,2
2260,q02_selection_extraction,2
2260,q03_search,3
2260,q04_status,2
2260,q05_list_studies,2
2260,q06_chars,1
2260,q07_qual_assess,3
2260,q08_qual_conclu,1
2260,q09_combine,3
2260,q10_pub_bias,1
2260,q11_coi,1
2260,total,21
2125,q01_design,3
2125,q02_selection_extraction,2
2125,q03_search,4
2125,q04_status,3
2125,q05_list_studies,1
2125,q06_chars,2
2125,q07_qual_assess,1
2125,q08_qual_conclu,4
2125,q09_combine,3
2125,q10_pub_bias,3
2125,q11_coi,3
2125,total,29
2307,q01_design,3
2307,q02_selection_extraction,2
2307,q03_search,4
2307,q04_status,1
2307,q05_list_studies,2
2307,q06_chars,4
2307,q07_qual_assess,4
2307,q08_qual_conclu,1
2307,q09_combine,4
2307,q10_pub_bias,3
2307,q11_coi,2
2307,total,30
2342,q01_design,3
2342,q02_selection_extraction,1
2342,q03_search,3
2342,q04_status,2
2342,q05_list_studies,1
2342,q06_chars,3
2342,q07_qual_assess,3
2342,q08_qual_conclu,1
2342,q09_combine,3
2342,q10_pub_bias,3
2342,q11_coi,3
2342,total,26
2520,q01_design,3
2520,q02_selection_extraction,4
2520,q03_search,4
2520,q04_status,2
2520,q05_list_studies,2
2520,q06_chars,3
2520,q07_qual_assess,4
2520,q08_qual_conclu,1
2520,q09_combine,3
2520,q10_pub_bias,2
2520,q11_coi,2
2520,total,30
3001,q01_design,3
3001,q02_selection_extraction,1
3001,q03_search,4
3001,q04_status,1
3001,q05_list_studies,2
3001,q06_chars,4
3001,q07_qual_assess,3
3001,q08_qual_conclu,4
3001,q09_combine,3
3001,q10_pub_bias,1
3001,q11_coi,2
3001,total,28
3048,q01_design,3
3048,q02_selection_extraction,4
3048,q03_search,3
3048,q04_status,1
3048,q05_list_studies,1
3048,q06_chars,4
3048,q07_qual_assess,1
3048,q08_qual_conclu,1
3048,q09_combine,1
3048,q10_pub_bias,1
3048,q11_coi,2
3048,total,22
3123,q01_design,4
3123,q02_selection_extraction,2
3123,q03_search,4
3123,q04_status,2
3123,q05_list_studies,3
3123,q06_chars,4
3123,q07_qual_assess,1
3123,q08_qual_conclu,1
3123,q09_combine,2
3123,q10_pub_bias,1
3123,q11_coi,2
3123,total,26
