ref,author_year,attrition_outcome,attrition_outcome_def,attrition_outcome_tidy,attrition_outcome_group,attrition_analysis,effect_signif,n_rcts,participants_unit,participants_study,attrition_measure,attrition_stat,attrition_study,condition,condition_group1,condition_group2
211,Torous et al. (2020),Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value",18,N,3336,App-based intervention pooled dropout rate,% [95% CI],"26.2 [18.12, 36.34]",Depression,Depression,Psychological disorders
211,Torous et al. (2020),Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value",18,N,3336,Placebo app intervention pooled dropout rate,% [95% CI],"25.1 [11.34, 46.75]",Depression,Depression,Psychological disorders
211,Torous et al. (2020),Dropout rate,Number of participants in each group who completed end-of-intervention assessments divided by total number randomised to that condition for each arm of study,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Subgroup analyses","Pooled dropout estimate, 95% CI, Z-value, Coefficient, SE, p-value",18,N,3336,Waitlist intervention pooled dropout rate,% [95% CI],"20.45 [5.14, 54.9]",Depression,Depression,Psychological disorders
214,Furukawa et al. (2020),Dropout due to AE,Not defined,Causes of dropout/attrition,Attrition,Random effects model,"Odds ratio, 95% CI, Ratio of odds ratio (ROdds ratio >1 indicates superiority of flexible vs fixed dose), p-value",123,N,29420,NR,NR,NR,Depression,Depression,Psychological disorders
214,Furukawa et al. (2020),Dropout for any reason,Not defined,Dropout/Attrition,Attrition,Random effects model,"Odds ratio, 95% CI, Ratio of odds ratio (ROdds ratio >1 indicates superiority of flexible vs fixed dose), p-value",123,N,29420,NR,NR,NR,Depression,Depression,Psychological disorders
217,Windle et al. (2020),Dropout rate,Not defined,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Sensitivity analyses","Pooled risk ratio, 95% CI, p-value",16,N,1857,Dropout rate for patients who received preferred accommodation,%,18.8,Mental health,Mixed psychological disorders,Psychological disorders
217,Windle et al. (2020),Dropout rate,Not defined,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Sensitivity analyses","Pooled risk ratio, 95% CI, p-value",16,N,1857,Dropout rate for patients who didn't receive preferred accommodation,%,33.5,Mental health,Mixed psychological disorders,Psychological disorders
221,Li et al. (2020),Placebo dropout rate,Not defined,Treatment dropout,Attrition,"Random effects model, Univariate and multivariate regression, Subgroup analyses","Dropout rate, 95% CI, Coefficient, p-value",148,Mean (SD),120.7 (71.5),Overall placebo dropout rate,Rate [95% CI],"0.25 (0.27, 0.27]",Depression,Depression,Psychological disorders
222,Linardon et al. (2020),Study attrition,"The number of participants randomised and who then did not complete the research protocol, which included failure to complete the follow-up assessments",Dropout/Attrition,Attrition,"Random effects model, Mixed effects model, Subgroup analyses","Attrition rate, Odds ratio, 95% CI, p-value",70,NR,NR,Weighted study attrition rates for short-term follow-up,% [95% CI],"24.1 [19.3, 29.6]",Mental health,Mixed psychological disorders,Psychological disorders
222,Linardon et al. (2020),Study attrition,"The number of participants randomised and who then did not complete the research protocol, which included failure to complete the follow-up assessments",Dropout/Attrition,Attrition,"Random effects model, Mixed effects model, Subgroup analyses","Attrition rate, Odds ratio, 95% CI, p-value",70,NR,NR,Weighted study attrition rates for long-term follow-up,% [95% CI],"35.5 [26.7, 45.3]",Mental health,Mixed psychological disorders,Psychological disorders
227,Dixon et al. (2020),Dropout,Number of participants who dropped out of DBT defined by either,Dropout/Attrition,Attrition,"Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]",Mental health,Mixed psychological disorders,Psychological disorders
227,Dixon et al. (2020),Treatment dropout,When participants dropped out anytime during the course of DBT regardless of what session they were up to,Treatment dropout,Attrition,"Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]",Mental health,Mixed psychological disorders,Psychological disorders
227,Dixon et al. (2020),Study dropout,"When participants failed to complete post-test/follow-up assessments, or when unspecified that participants dropped out during treatment",Dropout/Attrition,Attrition,"Random effects model, Borenstein et al. method, Mixed effects model, Subgroup analyses","Dropout rate, Odds ratio, 95% CI, p-value",40,NR,NR,Weighted mean dropout rate,% [95% CI],"28 [23.6, 32.9]",Mental health,Mixed psychological disorders,Psychological disorders
256,Matsusaki et al. (2019),Dropout owing to lack of efficacy,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Univariate and multivariate metaregression","Coefficients, standard error, p-value",47,N,20481,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
256,Matsusaki et al. (2019),Dropout owing to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Univariate and multivariate metaregression","Coefficients, standard error, p-value",47,N,20481,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
269,Benbow et al. (2019),Attrition,Number of participants randomised to a virtual reality exposure therapy (VRET) or in vivo exposure treatment condition who did not complete the number of treatment sessions specified by the trial,Dropout/Attrition,Attrition,"Random effects model, Mantel-Haenszel method, Metaregression, Subgroup analyses","Odds ratios, 95% CI, p-value",46,N,1057,NR,NR,NR,Anxiety disorders,Anxiety,Psychological disorders
282,Linardon et al. (2019),Dropout,"Number of patients who started interpersonal therapy (IPT) and who were then identified as a dropout according to study author definitions, thus included in the intention-to-treat analysis (e.g. those who stopped attending sessions or failed to provide post-treatment data)",Dropout/Attrition,Attrition,"Random effects model, Borenstein et al. method, Mixed effects model, Metaregression, Subgroup analyses","Pooled dropout rate, Odds ratios, 95% CI, Coefficient, p-value",72,NR,NR,Weighted mean dropout rate,(%) [95% CI],"20.6 [17.4, 24.2]",Mental health,Mixed psychological disorders,Psychological disorders
326,Linardon et al. (2018),Dropout rate,The number of participants who started CBT (or comparison condition) and who were then identified as dropouts according to the author's definition of dropout. Includes any individual who would be included in the ITT population (e.g. those who never attended a session).,Dropout/Attrition,Attrition,"Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, p-value, Coefficients, standard error",99,NR,NR,Overall CBT dropout rate,% [95% CI],"24 [22, 27]",Eating disorders,Eating disorders,Psychological disorders
327,Ong et al. (2018),Dropout,Attrition following the start of therapy,Dropout/Attrition,Attrition,"Random effects model, Metaregression","Weighted dropout rates, 95% CI, Coefficients, p-value",68,N,4729,Weighted mean dropout rate,% [95% CI],"15.8 [11.9, 20.1]",Psychological and behavioural health disorders,Mixed psychological disorders,Psychological disorders
358,Pozza et al. (2017),Dropout rate,Number of participants who did not complete all the scheduled treatment sessions,Dropout/Attrition,Attrition,Random effects model,"Odds ratios, 95% CI, p-value",6,N,307,NR,NR,NR,OCD,OCD,Psychological disorders
378,Leucht et al. (2017),Dropout rate,Discontinuation related to any cause and inefficacy,Dropout/Attrition,Attrition,"Random effects model, Bayesian hierarchical framework","Risk ratios, 95% CI, odds ratios, Coefficient, p-value",167,N,28102,Mean dropout rate,% (SD),37.2 (20.5),Schizophrenia,Schizophrenia,Psychological disorders
396,Swift et al. (2017),Premature termination,Attending at least one session but failing to complete the treatment as defined by study authors,Premature termination,Attrition,Random effects model,"Odds ratios, 95% CI, p-value",182,N,17891,Weighted mean premature termination rate,% [95% CI],"21.9 [20.6, 23.3]",Mental health,Mixed psychological disorders,Psychological disorders
399,Szymczynska et al. (2017),Dropout from experimental intervention,Proportion of participants reported as not completing the intervention according to author's definition,Treatment dropout,Attrition,"Random effects model, Metaregression","Coefficient, 95% CI, p-value",43,N,8640,Overall dropout from intervention,% [95% CI],"14 [13, 15]",Schizophrenia,Schizophrenia,Psychological disorders
399,Szymczynska et al. (2017),Dropout from study,Proportion of participants who did not complete the last follow-up assessment in all study arms,Dropout/Attrition,Attrition,"Random effects model, Metaregression","Coefficient, 95% CI, p-value",43,N,8640,Overall dropout from study,% [95% CI],"20 [4, 71]",Schizophrenia,Schizophrenia,Psychological disorders
448,Ong et al. (2016),Dropout,Attrition following the start of treatment,Dropout/Attrition,Attrition,"Random effects model, Metaregression, ANOVA","Weighted rates, odds ratios, 95% CI, Coefficients, p-value",21,N,1400,Weighted mean dropout rate,% [95% CI],"17.4 [11.4, 18.4]",OCD,OCD,Psychological disorders
463,Vancampfort et al. (2016),Treatment dropout rate,Unexpected patient attrition among individuals who were randomised to a treatment but failed to complete it,Treatment dropout,Attrition,"Random effects model, Metaregression, Subgroup analyses","Dropout rates, 95% CI, coefficients, p-value",19,N,1177,Pooled dropout rate in physical activity interventions,% [95% CI],"22.1 [16.4, 28.9]",Schizophrenia,Schizophrenia,Psychological disorders
463,Vancampfort et al. (2016),Treatment dropout rate,Unexpected patient attrition among individuals who were randomised to a treatment but failed to complete it,Treatment dropout,Attrition,"Random effects model, Metaregression, Subgroup analyses","Dropout rates, 95% CI, coefficients, p-value",19,N,1177,Pooled dropout rate in non-active control interventions,% [95% CI],"12.7 [7.7, 20.2]",Schizophrenia,Schizophrenia,Psychological disorders
465,Stubbs et al. (2016),Dropout rate,Unexpected participant attrition among individuals who were randomised to a treatment but failed to complete it,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Subgroup analyses","Dropout rates, 95% CI, coefficients, p-value",40,N,1720,Pooled dropout rate in exercise arms,% [95% CI],"15.4 [12.7, 18.5]",Depression,Depression,Psychological disorders
490,Cooper et al. (2015),Dropout rate,Unexpected participant attrition among individuals who were randomised to a treatment but failed to complete it,Dropout/Attrition,Attrition,"Random effects model, Mixed effects model, Metaregression, ANOVA-like tests","Dropout rates, 95% CI, slopes, coefficients, p-value",54,N,3394,Mean weighted treatment dropout rate,% [95% CI],"17.5 [16.2, 18.8]",Depression,Depression,Psychological disorders
490,Cooper et al. (2015),Dropout rate,Unexpected participant attrition among individuals who were randomised to a treatment but failed to complete it,Dropout/Attrition,Attrition,"Random effects model, Mixed effects model, Metaregression, ANOVA-like tests","Dropout rates, 95% CI, slopes, coefficients, p-value",54,N,3394,Mean weighted study dropout rate,% [95% CI],"19.9 [18.9, 20.9]",Depression,Depression,Psychological disorders
498,Karyotaki et al. (2015),Treatment dropout,Not defined,Treatment dropout,Attrition,"Bivariate and multivariate Poisson regression, Sensitivity analyses","Relative risk, 95% CI, p-value",10,N,2705,Treatment module dropout (did not complete 75% modules),%,70,Depression,Depression,Psychological disorders
538,Schalkwijk et al. (2014),Total dropout,Not defined,Dropout/Attrition,Attrition,"Random effects model, Linear regression, Metaregression","Coefficient, 95% CI, p-value",56,N,17189,NR,NR,NR,Depression,Depression,Psychological disorders
538,Schalkwijk et al. (2014),Dropout ascribed to lack of efficacy,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Linear regression, Metaregression","Coefficient, 95% CI, p-value",56,N,17189,NR,NR,NR,Depression,Depression,Psychological disorders
538,Schalkwijk et al. (2014),Dropout ascribed to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Linear regression, Metaregression","Coefficient, 95% CI, p-value",56,N,17189,NR,NR,NR,Depression,Depression,Psychological disorders
538,Schalkwijk et al. (2014),Dropout ascribed to miscellaneous factors,Not defined,Dropout/Attrition due to other,Attrition,"Random effects model, Linear regression, Metaregression","Coefficient, 95% CI, p-value",56,N,17189,NR,NR,NR,Depression,Depression,Psychological disorders
567,Rutherford et al. (2013),Dropout,Not defined,Dropout/Attrition,Attrition,"Mixed effects model, Logistic regression","Odds ratio, coefficients, standard error, 95% CI, p-value",111,N,29160,Dropout rate in placebo-controlled studies,Mean (SD),31.8 (14.1),Depression,Depression,Psychological disorders
567,Rutherford et al. (2013),Dropout,Not defined,Dropout/Attrition,Attrition,"Mixed effects model, Logistic regression","Odds ratio, coefficients, standard error, 95% CI, p-value",111,N,29160,Dropout rate in comparator studies,Mean (SD),24.0 (10.2),Depression,Depression,Psychological disorders
569,Cunill et al. (2013),All-cause treatment discontinuation,The proportion of patients randomised who did not complete the study for any reason,Treatment discontinuation,Attrition,"Random effects model, Metaregression, Fixed effects model, Sensitivity analysis","Odds ratios, 95% CIs, p-value",12,N,3375,NR,NR,NR,ADHD,ADHD,Psychological disorders
569,Cunill et al. (2013),Proportion of patients who discontinued because of lack of efficacy,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Metaregression, Fixed effects model, Sensitivity analysis","Odds ratios, 95% CIs, p-value",12,N,3375,NR,NR,NR,ADHD,ADHD,Psychological disorders
569,Cunill et al. (2013),Proportion of patients who discontinued due to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Metaregression, Fixed effects model, Sensitivity analysis","Odds ratios, 95% CIs, p-value",12,N,3375,NR,NR,NR,ADHD,ADHD,Psychological disorders
586,Imel et al. (2013),Dropout,"Number of individuals randomised to a treatment condition that did not complete the full course, regardless of reason",Dropout/Attrition,Attrition,"Random effects model, Metaregression, Sensitivity analyses","Log odds ratio, odds ratio, 95% CI, rank correlation test, p-value",42,N,1850,Aggregated active treatment dropout,% [95% CI],"18.29 [14.84, 21.75]",PTSD,PTSD,Psychological disorders
693,Villeneuve et al. (2010),Dropout,Not defined,Dropout/Attrition,Attrition,"Random effects model, Metaregression, Subgroup analyses","Coefficient, 95% CI, p-value",74,N,4374,Composite dropout rate,% [95% CI],"13 [0.106, 0.156]",Schizophrenia,Schizophrenia,Psychological disorders
698,Tedeschini et al. (2010),Discontinuation rate,Per each protocol,Trial discontinuation,Attrition,"Random effects model, Metaregression","Risk ratio, 95% CI, p-value",142,N,36603,Pooled discontinuation rate for antidepressants,%,31.4,Depression,Depression,Psychological disorders
698,Tedeschini et al. (2010),Discontinuation rate,Per each protocol,Trial discontinuation,Attrition,"Random effects model, Metaregression","Risk ratio, 95% CI, p-value",142,N,36603,Pooled discontinuation rate for placebo,%,33.2,Depression,Depression,Psychological disorders
713,Cuijpers et al. (2009),Dropout,Not defined,Dropout/Attrition,Attrition,"Random effects model, Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, p-value",19,NR,NR,NR,NR,NR,Depression,Depression,Psychological disorders
725,Heo et al. (2009),Attrition size,Number of dropouts during the study and number of subjects who were rnadomised but excluded from study-specific efficacy analysis,Dropout/Attrition,Attrition,"Mantel-Haenszel method, Univariate and multivariate logistic regression, Forward stepwise correlation analysis","Odds ratio, 95% CI, p-value",68,N,8385,Attrition rate,%,27.3,Depression,Depression,Psychological disorders
731,Rabinowitz et al. (2009),Total treatment arm dropout,Not defined,Treatment dropout,Attrition,"Mixed effects model, Metaregression, Subgroup analyses","Odds ratio, 95% CI, estimate, standard error, p-value",94,N,2686,NR,NR,NR,Schizophrenic disorders,Schizophrenia,Psychological disorders
732,Reas et al. (2008),Attrition,Withdrawal or noncompletion for any reason,Dropout/Attrition,Attrition,"Fixed effects model, Random effects model","Risk ratio, 95% CI, p-value",13,N,1254,Overall attrition rate for placebo,%,31.5,Binge eating disorders,Eating disorders,Psychological disorders
732,Reas et al. (2008),Attrition,Withdrawal or noncompletion for any reason,Dropout/Attrition,Attrition,"Fixed effects model, Random effects model","Risk ratio, 95% CI, p-value",13,N,1254,Overall attrition rate for active treatment,%,30.4,Binge eating disorders,Eating disorders,Psychological disorders
759,Weinmann et al. (2008),"Overall dropout rate, dropouts due to adverse events)",Not defined,Dropout/Attrition,Attrition,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for venlafaxine,N/Total,413/1748,Depression,Depression,Psychological disorders
759,Weinmann et al. (2008),"Overall dropout rate, dropouts due to adverse events)",Not defined,Dropout/Attrition,Attrition,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for SSRIs,N/Total,392/1791,Depression,Depression,Psychological disorders
759,Weinmann et al. (2008),Dropouts due to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for venlafaxine,N/Total,413/1748,Depression,Depression,Psychological disorders
759,Weinmann et al. (2008),Dropouts due to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Fixed effects model, Mantel-Haenszel method","Risk ratios, 95% CI",17,N,3485,Dropout proportion for SSRIs,N/Total,392/1791,Depression,Depression,Psychological disorders
788,Miyasaka et al. (2006),Number of participants dropping out due to side effects,Not defined,Causes of dropout/attrition,Attrition,Fixed effects model,"Relative risk, 95% CI, p-value",1,N,36,Overall dropout rate,%,14,Anxiety disorders,Anxiety,Psychological disorders
788,Miyasaka et al. (2006),Total number of dropouts,Not defined,Dropout/Attrition,Attrition,Fixed effects model,"Relative risk, 95% CI, p-value",1,N,36,Overall dropout rate,%,14,Anxiety disorders,Anxiety,Psychological disorders
810,Martin et al. (2006),All-cause discontinuation of treatment,Not defined,Treatment dropout,Attrition,"Random effects model, Fixed effects model, Sensitivity analyses","Log relative risk, log odds ratio, risk difference, 95% CI, p-value",28,N,7754,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
810,Martin et al. (2006),Specific discontinuation due to adverse events,Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Fixed effects model, Sensitivity analyses","Log relative risk, log odds ratio, risk difference, 95% CI, p-value",28,N,7754,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
840,Pampallona et al. (2004),Dropout for any reason,Not defined,Dropout/Attrition,Attrition,"Random effects model, Sensitivity analysis, Metaregression","Odds ratio, 95% CI, p-value",16,N,1842,Pooled dropout estimates for combined pharmacotherapy compared to psychotherapy,% [95% CI],"6.5% [-12.1, -1]",Depression,Depression,Psychological disorders
869,Bacaltchuk et al. (2001),Acceptability (dropout due to any cause),Not defined,Dropout/Attrition,Attrition,"Random effects model, Sensitivity analyses","Odds ratio, relative risk, 95% CI, p-value",19,N,1436,NA,NA,NA,Bulimia nervosa,Eating disorders,Psychological disorders
869,Bacaltchuk et al. (2001),Tolerability (dropout due to adverse events),Not defined,Causes of dropout/attrition,Attrition,"Random effects model, Sensitivity analyses","Odds ratio, relative risk, 95% CI, p-value",19,N,1436,NA,NA,NA,Bulimia nervosa,Eating disorders,Psychological disorders
875,Wahlbeck et al. (2001),Number of dropouts,The number of patients leaving the study preterm due to any reason,Dropout/Attrition,Attrition,"Two-tailed significance testing, linear ANOVA regression","F-statistic, p-value",163,N,18585,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
1202,Kato et al. (2021),Acceptability,All-cause dropout,Acceptability,Attrition,"Random effects model, Subgroup analyses, Metaregression","OR, 95% CI, p-value",40,N,8890,Pooled dropout odds,OR [95% CI],"0.47 [0.40, 0.55]",Depression,Depression,Psychological disorders
1202,Kato et al. (2021),Tolerability,Dropout due to adverse events,Tolerability,Attrition,"Random effects model, Subgroup analyses, Metaregression","OR, 95% CI, p-value",40,N,8890,Pooled dropout odds,OR [95% CI],"1.15 [0.79, 1.67]",Depression,Depression,Psychological disorders
1519,Bighelli et al. (2018),All-cause discontinuation,Study dropout for any reason,Dropout/Attrition,Attrition,"Random effects model, Frequenist network meta-analysis","Risk ratio, 95% CI, p-values, subgroup analyses",62,N,4068,NR,NR,NR,Schizophrenia,Schizophrenia,Psychological disorders
2125,Lam et al. (2022),Attrition rate,Ratio between dropout and intention to treat sample sizes,Dropout/Attrition,Attrition,"Random effects model, Peto method, Mantel-Haenszel method, Sensitivity analyses, Subgroup analyses, Metaregression","Coefficient, 95% CI, p-value",114,N,11288,Differential attrition between MBI and control arms,OR [95% CI],"1.05 [0.92, 1.19]",Mixed psychological disorders,Mixed psychological disorders,Psychological disorders
2307,Lewis et al. (2020),Dropout,The number of participants that left the study at the point of post-treatment assessment,Dropout/Attrition,Attrition,"Random effects model, metaregression","Coefficient, 95% CI, p-value",115,N,7724,Pooled dropout rate,% [95% CI],"16 [14, 18]",PTSD,PTSD,Psychological disorders
2342,Albano et al. (2019),End of treatment dropout,Not defined,Treatment dropout,Attrition,Random effects model,"Peto OR, 95% CI, p-value",22,NR,NR,NR,NR,NR,Anorexia nervosa,Eating disorders,Psychological disorders
2520,Huang et al. (2014),Acceptability,"Total dropout, dropout due to inefficacy, dropout due to side effects",Acceptability,Attrition,"Random effects model, Fixed effects model, Sensitivity analyses","Risk ratio, 95% CI, p-value",6,N,1871,Dropout rate,%,<20,Depression,Depression,Psychological disorders
