ref,author_year,trial_char,outcome,tidy_trial_char_tabular,tidy_trial_char_heatmap,trial_char_group,tidy_trial_char_old
222,Linardon et al. (2020),Intervention format,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
222,Linardon et al. (2020),Financial incentives,1,Using incentives,Motivational/Incentive strategies,Motivational/Incentive strategies,Motivational/Incentive strategies
222,Linardon et al. (2020),Reminders for engagement,1,Use of reminders,Trial design | Retention strategies,Trial design,Trial design
222,Linardon et al. (2020),Enrollment method,1,Enrolment method,Enrolment-related,Enrolment-related,Enrolment-related
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
222,Linardon et al. (2020),Population,0,Population studied,Trial design | Population,Trial design,Trial design
222,Linardon et al. (2020),interventions with mindfulness elements,0,Intervention components,Intervention components,Intervention-related,Intervention components
225,Palmowski et al. (2020),Study duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
225,Palmowski et al. (2020),Intervention arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
225,Palmowski et al. (2020),Recruitment age limit,0,Age limit,Eligibility criteria,Eligibility criteria,Eligibility criteria
225,Palmowski et al. (2020),region,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
225,Palmowski et al. (2020),study size,0,Sample size,Trial design | Sample size,Trial design,Trial design
225,Palmowski et al. (2020),Recruitment age limit,0,Age limit,Eligibility criteria,Eligibility criteria,Eligibility criteria
225,Palmowski et al. (2020),region,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
225,Palmowski et al. (2020),study size,0,Sample size,Trial design | Sample size,Trial design,Trial design
227,Dixon et al. (2020),Therapist attending consultant team meetings,1,Clinician-Consultant meetings,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),Availability of telephone crisis coaching,1,Clinician telephone crisis coaching,Trial conduct,Intervention-related,Trial conduct
227,Dixon et al. (2020),Targeted disorder,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
227,Dixon et al. (2020),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
227,Dixon et al. (2020),delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
227,Dixon et al. (2020),therapist experience,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
227,Dixon et al. (2020),therapist adherence,0,Clinician protocol adherence,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
227,Dixon et al. (2020),Targeted disorder,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
227,Dixon et al. (2020),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
227,Dixon et al. (2020),delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
227,Dixon et al. (2020),therapist experience,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
227,Dixon et al. (2020),therapist adherence,0,Clinician protocol adherence,Trial conduct,Trial conduct,Trial conduct
227,Dixon et al. (2020),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
256,Matsusaki et al. (2019),Publication year,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
256,Matsusaki et al. (2019),Study duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
256,Matsusaki et al. (2019),Number of sites,1,Number of sites,Trial design | Number of sites,Trial design,Trial design
256,Matsusaki et al. (2019),Placebo lead-in period,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
256,Matsusaki et al. (2019),number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
256,Matsusaki et al. (2019),placebo randomisation rate,0,Randomisation rate,Trial conduct,Trial conduct,Trial conduct
256,Matsusaki et al. (2019),treatment regimen,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
256,Matsusaki et al. (2019),active comparator class,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
256,Matsusaki et al. (2019),setting,0,Trial design,Trial design,Trial design,Trial design
256,Matsusaki et al. (2019),number of countries,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
256,Matsusaki et al. (2019),number of randomised subjects per site,0,Sample size,Trial design | Sample size,Trial design,Trial design
256,Matsusaki et al. (2019),Placebo lead-in period,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
256,Matsusaki et al. (2019),number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
256,Matsusaki et al. (2019),placebo randomisation rate,0,Randomisation rate,Trial conduct,Trial conduct,Trial conduct
256,Matsusaki et al. (2019),treatment regimen,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
256,Matsusaki et al. (2019),active comparator class,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
256,Matsusaki et al. (2019),setting,0,Trial design,Trial design,Trial design,Trial design
256,Matsusaki et al. (2019),number of countries,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
256,Matsusaki et al. (2019),number of randomised subjects per site,0,Sample size,Trial design | Sample size,Trial design,Trial design
256,Matsusaki et al. (2019),Placebo lead-in period,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
256,Matsusaki et al. (2019),number of arms,0,Number of arms,Trial design | Number of arms,Trial design,Trial design
256,Matsusaki et al. (2019),placebo randomisation rate,0,Randomisation rate,Trial conduct,Trial conduct,Trial conduct
256,Matsusaki et al. (2019),treatment regimen,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
256,Matsusaki et al. (2019),active comparator class,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
256,Matsusaki et al. (2019),setting,0,Trial design,Trial design,Trial design,Trial design
256,Matsusaki et al. (2019),number of countries,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
256,Matsusaki et al. (2019),number of randomised subjects per site,0,Sample size,Trial design | Sample size,Trial design,Trial design
269,Benbow et al. (2019),Between-session intervention,1,Intervention components,Intervention components,Intervention-related,Intervention components
269,Benbow et al. (2019),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
269,Benbow et al. (2019),targeted disorder,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
269,Benbow et al. (2019),cognitive-behavioural interventions used in addition to primary treatment,0,Intervention components,Intervention components,Intervention-related,Intervention components
269,Benbow et al. (2019),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
282,Linardon et al. (2019),Dropout definition,1,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
282,Linardon et al. (2019),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
282,Linardon et al. (2019),Treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
282,Linardon et al. (2019),session duration,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
282,Linardon et al. (2019),exclusion based on comorbidities,0,Exclusions based on comorbidites,Eligibility | Comorbidities,Eligibility criteria,Eligibility criteria
282,Linardon et al. (2019),Treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
282,Linardon et al. (2019),session duration,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
282,Linardon et al. (2019),exclusion based on comorbidities,0,Exclusions based on comorbidites,Eligibility | Comorbidities,Eligibility criteria,Eligibility criteria
288,DeCrescenzo et al. (2018),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
288,DeCrescenzo et al. (2018),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
288,DeCrescenzo et al. (2018),Treatment intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
288,DeCrescenzo et al. (2018),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
288,DeCrescenzo et al. (2018),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
288,DeCrescenzo et al. (2018),Treatment intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
288,DeCrescenzo et al. (2018),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
288,DeCrescenzo et al. (2018),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
301,Dudas et al. (2018),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
326,Linardon et al. (2018),Treatment modality,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
326,Linardon et al. (2018),Treatment protocol,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
326,Linardon et al. (2018),Number of sessions,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
326,Linardon et al. (2018),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
326,Linardon et al. (2018),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
326,Linardon et al. (2018),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
326,Linardon et al. (2018),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
326,Linardon et al. (2018),quality assessment,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
326,Linardon et al. (2018),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
326,Linardon et al. (2018),dropout definition,0,Dropout definition,Dropout definition,Quality/Risk of bias,Dropout definition
327,Ong et al. (2018),Therapist qualifications,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
327,Ong et al. (2018),Targeted condition,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
327,Ong et al. (2018),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
327,Ong et al. (2018),treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
327,Ong et al. (2018),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
327,Ong et al. (2018),session frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
327,Ong et al. (2018),methodological quality,0,Methodological quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
358,Pozza et al. (2017),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
378,Leucht et al. (2017),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
378,Leucht et al. (2017),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
396,Swift et al. (2017),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
399,Szymczynska et al. (2017),Number of sessions,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
399,Szymczynska et al. (2017),Study location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
399,Szymczynska et al. (2017),setting,0,Trial design,Trial design,Trial design,Trial design
399,Szymczynska et al. (2017),control intervention used,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
399,Szymczynska et al. (2017),duration,0,Trial duration,Trial design | Duration,Trial design,Trial design
399,Szymczynska et al. (2017),number of evaluations,0,Follow-up frequency/intensity,Follow-up related,Follow-up related,Follow-up related
399,Szymczynska et al. (2017),study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
399,Szymczynska et al. (2017),number of follow-up assessments,0,Follow-up frequency/intensity,Follow-up related,Follow-up related,Follow-up related
413,Vancampfort et al. (2017),Treatment type,1,Intervention type,Intervention type,Intervention-related,Intervention type
413,Vancampfort et al. (2017),Supervision format,1,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
413,Vancampfort et al. (2017),Clinician qualifications,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
413,Vancampfort et al. (2017),Setting,0,Setting,Trial design | Setting,Trial design,Trial design
413,Vancampfort et al. (2017),motivational elements,0,Motivational/Incentive strategies,Motivational/Incentive strategies,Intervention-related,Motivational/Incentive strategies
413,Vancampfort et al. (2017),treatment modality,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
413,Vancampfort et al. (2017),intervention frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
413,Vancampfort et al. (2017),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
413,Vancampfort et al. (2017),Setting,0,Setting,Trial design | Setting,Trial design,Trial design
413,Vancampfort et al. (2017),motivational elements,0,Motivational/Incentive strategies,Motivational/Incentive strategies,Intervention-related,Motivational/Incentive strategies
413,Vancampfort et al. (2017),treatment modality,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
413,Vancampfort et al. (2017),intervention frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
413,Vancampfort et al. (2017),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
413,Vancampfort et al. (2017),Setting,0,Setting,Trial design | Setting,Trial design,Trial design
413,Vancampfort et al. (2017),motivational elements,0,Motivational/Incentive strategies,Motivational/Incentive strategies,Intervention-related,Motivational/Incentive strategies
413,Vancampfort et al. (2017),treatment modality,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
413,Vancampfort et al. (2017),intervention frequency,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
413,Vancampfort et al. (2017),intervention intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
415,de Campos Moreira et al. (2017),Study quality,1,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
415,de Campos Moreira et al. (2017),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
417,Arafah et al. (2017),Trial design,1,Trial design,Trial design,Trial design,Trial design
440,Ibrahim et al. (2016),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
448,Ong et al. (2016),Therapist qualifications,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
448,Ong et al. (2016),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
463,Vancampfort et al. (2016),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Setting,1,Setting,Trial design | Setting,Trial design,Trial design
463,Vancampfort et al. (2016),Intervention intensity,1,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
463,Vancampfort et al. (2016),Motivational elements of intervention,1,Motivational/Incentive strategies,Motivational/Incentive strategies,Intervention-related,Motivational/Incentive strategies
463,Vancampfort et al. (2016),Supervision format,1,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
463,Vancampfort et al. (2016),Supervisor qualification,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
463,Vancampfort et al. (2016),Type of physical activity intervention,0,Intervention type,Intervention type,Intervention-related,Intervention type
465,Stubbs et al. (2016),Setting,1,Setting,Trial design | Setting,Trial design,Trial design
465,Stubbs et al. (2016),Intervention type,1,Intervention type,Intervention type,Intervention-related,Intervention type
465,Stubbs et al. (2016),Supervisor qualifications,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
465,Stubbs et al. (2016),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
465,Stubbs et al. (2016),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
465,Stubbs et al. (2016),publication type,0,Publication type,Publication Type/Year,Publication details,Publication type
465,Stubbs et al. (2016),group exercise,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
465,Stubbs et al. (2016),supervision,0,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
465,Stubbs et al. (2016),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
465,Stubbs et al. (2016),publication type,0,Publication type,Publication Type/Year,Publication details,Publication type
465,Stubbs et al. (2016),group exercise,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
465,Stubbs et al. (2016),supervision,0,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
465,Stubbs et al. (2016),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
465,Stubbs et al. (2016),publication type,0,Publication type,Publication Type/Year,Publication details,Publication type
465,Stubbs et al. (2016),group exercise,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
465,Stubbs et al. (2016),supervision,0,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
465,Stubbs et al. (2016),Study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
465,Stubbs et al. (2016),publication type,0,Publication type,Publication Type/Year,Publication details,Publication type
465,Stubbs et al. (2016),group exercise,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
465,Stubbs et al. (2016),supervision,0,Intervention supervision,Intervention supervision,Intervention-related,Intervention supervision
490,Cooper et al. (2015),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
490,Cooper et al. (2015),Population,0,Population studied,Trial design | Population,Trial design,Trial design
490,Cooper et al. (2015),region,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
490,Cooper et al. (2015),setting,0,Trial design,Trial design,Trial design,Trial design
490,Cooper et al. (2015),target condition,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
490,Cooper et al. (2015),therapist qualifications,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
490,Cooper et al. (2015),study duration,0,Trial duration,Trial design | Duration,Trial design,Trial design
490,Cooper et al. (2015),number of intended sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
490,Cooper et al. (2015),provider experience,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
498,Karyotaki et al. (2015),Intervention type,0,Intervention type,Intervention type,Intervention-related,Intervention type
498,Karyotaki et al. (2015),number of modules,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
510,Crutzen et al. (2015),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
510,Crutzen et al. (2015),Human contact in delivery,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
510,Crutzen et al. (2015),treatment intensity,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
510,Crutzen et al. (2015),control type,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
510,Crutzen et al. (2015),follow-up intensity,0,Follow-up frequency/intensity,Follow-up related,Follow-up related,Follow-up related
510,Crutzen et al. (2015),follow-up duration,0,Follow-up duration,Follow-up related,Follow-up related,Follow-up related
535,Makatsori et al. (2014),Study duration,0,Trial duration,Trial design | Duration,Trial design,Trial design
535,Makatsori et al. (2014),treatment formulation,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
535,Makatsori et al. (2014),treatment schedule,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
535,Makatsori et al. (2014),number of centres,0,Number of sites,Trial design | Number of sites,Trial design,Trial design
535,Makatsori et al. (2014),number of sensitisations,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
535,Makatsori et al. (2014),country of study,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
538,Schalkwijk et al. (2014),Reporting year,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
538,Schalkwijk et al. (2014),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
551,Hornyak et al. (2014),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
551,Hornyak et al. (2014),Active control type,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
551,Hornyak et al. (2014),active treatment type,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
567,Rutherford et al. (2013),Study type,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
567,Rutherford et al. (2013),Treatment duration,1,Intervention duration,Intervention duration,Intervention-related,Intervention duration
567,Rutherford et al. (2013),Visit frequency,1,Visit frequency,Trial design | Visit frequency,Trial design,Trial design
567,Rutherford et al. (2013),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
567,Rutherford et al. (2013),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
567,Rutherford et al. (2013),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
569,Cunill et al. (2013),Treatment duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
569,Cunill et al. (2013),dosing regimen,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
569,Cunill et al. (2013),comorbidity as inclusion criterion,0,Comorbidities,Eligibility | Comorbidities,Eligibility criteria,Eligibility criteria
569,Cunill et al. (2013),lead-in period,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
569,Cunill et al. (2013),recruitment method,0,Recruitment strategies,Recruitment-related,Recruitment-related,Recruitment-related
570,Kredo et al. (2013),Model of care,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
586,Imel et al. (2013),Treatment modality,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
